date,Platform,business_unit,small_c,brand,basepack,sales_actual,Node
2022-01-01,Online,FreshMart,Beverages,PRD0001,12995,11052.0,Amazon_BEAUTY AND WELLBEING_HAIR CARE_DOVE_12995
2022-01-01,Online,FreshMart,Beverages,PRD0001,12996,12473.0,Amazon_BEAUTY AND WELLBEING_HAIR CARE_DOVE_12996
2022-01-01,Online,FreshMart,Beverages,PRD0002,11997,25353.0,Amazon_BEAUTY AND WELLBEING_HAIR CARE_INDULEKHA_11997
2022-01-01,Online,FreshMart,Beverages,PRD0003,26118,8421.0,Amazon_BEAUTY AND WELLBEING_HAIR CARE_TRESEMME_26118
2022-01-01,Online,FreshMart,Beverages,PRD0003,26119,6018.0,Amazon_BEAUTY AND WELLBEING_HAIR CARE_TRESEMME_26119
